District,Division,Area,Club Number,Club Name,Club Status,CSP,Mem. Base,Active Members,Net Growth,Goals Met,Level 1s,Level 2s,Add. Level 2s,Level 3s,"Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award",New Members,Add. New Members,Off. Trained Round 1,Off. Trained Round 2,Mem. dues on time Oct,Mem. dues on time Apr,Off. List On Time,Club Distinguished Status
31,A,11,508,Merrimack Toastmasters Club,Active,Y,12,15,3,1,0,0,0,0,0,0,4,0,3,1,1,0,0,
31,A,11,8508,Clipper City Club,Active,Y,16,15,-1,1,0,0,0,0,0,0,2,0,5,1,1,0,1,
31,A,11,7675820,EBSCO Toastmasters,Active,Y,10,15,5,1,0,0,0,0,0,0,4,3,1,1,1,0,0,
31,A,11,7988557,New England Biolabs,Active,Y,20,19,-1,1,2,1,0,0,0,0,2,0,6,2,1,0,1,
31,A,12,1225457,Harold Parker Toastmasters,Active,Y,11,9,-2,0,0,0,0,0,0,0,3,0,4,1,0,0,1,
31,A,12,3785939,Advanced Articulators Online,Active,Y,10,10,0,5,2,2,0,1,1,3,2,0,7,4,1,0,1,
31,A,12,6892975,Analog Orators,Active,Y,10,8,-2,0,0,1,0,0,0,0,2,0,6,0,0,0,1,
31,A,12,28677456,South East Toastmasters,Ineligible,Y,13,18,5,2,0,0,0,0,0,0,4,14,0,0,0,0,0,
31,A,13,2779,MITRE  Toastmasters Club,Active,Y,9,8,-1,1,0,0,0,0,0,0,0,0,4,3,1,0,1,
31,A,13,5525,The Last Word,Active,Y,9,10,1,1,0,1,0,0,0,0,2,0,5,1,1,0,1,
31,A,13,5560447,Toast of the Town,Active,Y,35,26,-9,1,0,0,0,0,0,0,3,0,5,2,1,0,1,
31,A,13,7928167,ToaSTRs,Active,Y,10,9,-1,1,0,0,0,0,0,0,3,0,2,0,1,0,1,
31,A,14,3565,Eastern Middlesex Toastmasters,Active,Y,27,28,1,4,2,2,1,1,0,0,4,2,6,7,1,0,1,
31,A,14,3908,Northshore Toastmasters Club,Active,Y,30,36,6,5,3,0,0,0,1,1,4,11,7,1,1,0,1,
31,A,14,735541,Toastmasters Club of Beverly MA,Active,Y,8,8,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,
31,A,14,7962029,Toastmasters at Abiomed,Active,Y,8,11,3,1,0,0,0,0,0,0,3,0,3,0,1,0,1,
31,B,21,2193,Isaac Davis Club,Active,Y,15,14,-1,1,1,0,0,0,0,0,3,0,5,3,1,0,1,
31,B,21,4690,Westford Expressions Club,Active,Y,22,17,-5,4,1,2,0,1,1,1,1,0,4,0,1,0,1,
31,B,21,7677,Wachusett Toastmasters #7677,Active,Y,14,17,3,3,1,1,0,0,1,0,4,0,6,3,1,0,1,
31,B,21,8753,Twin City Club,Active,Y,11,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,
31,B,22,4031,Chelmsford Toastmasters Club,Active,Y,20,18,-2,4,2,1,0,0,1,2,4,0,4,2,1,0,1,
31,B,22,2078400,Mill City Toastmasters,Active,Y,10,10,0,3,0,1,0,2,1,0,1,0,7,1,1,0,1,
31,B,22,3550659,New Life Toastmasters Club,Active,Y,13,11,-2,3,0,1,0,0,1,1,3,0,5,2,1,0,1,
31,B,22,7958590,Share the Spark,Active,Y,21,15,-6,1,0,0,0,0,0,0,2,0,0,0,1,0,1,
31,B,23,2201,Hanscom Toastmasters Club,Active,Y,16,13,-3,3,1,0,0,1,1,2,2,0,7,2,1,0,1,
31,B,23,3981,Alcott Toastmasters,Active,Y,22,21,-1,3,2,0,0,1,1,0,4,1,7,2,1,0,1,
31,B,23,909842,Lincoln Laboratory Toastmasters Club,Active,Y,13,11,-2,2,0,1,0,1,1,0,2,0,4,2,1,0,1,
31,B,23,1528212,Energy Talks,Active,Y,15,22,7,3,0,0,0,0,0,0,4,4,4,2,1,0,1,
31,B,24,2288,Minutemen Toastmasters of Waltham,Active,Y,12,8,-4,1,1,0,0,0,1,0,0,0,5,2,0,0,1,
31,B,24,5738,Sales & Marketing Club,Active,Y,20,21,1,1,1,1,0,0,0,0,1,0,4,0,1,0,1,
31,B,24,6174,AccelOrators Advanced Toastmasters,Active,Y,10,9,-1,1,0,0,0,0,0,0,1,0,5,2,1,0,1,
31,B,24,6272,Lexington Toastmasters,Active,Y,27,26,-1,2,1,0,0,0,0,0,4,0,1,1,1,0,1,
31,B,25,2753,Sylvan Speakers Wednesday Noon Eastern US Time Club,Active,Y,15,13,-2,2,0,1,0,0,0,0,3,0,4,4,1,0,1,
31,B,25,3077435,Broadcasters Toastmasters,Active,Y,16,39,23,3,0,0,0,0,0,0,4,21,5,3,1,0,1,
31,B,25,3163158,Dassault Systemes Boston Campus Toastmasters Club,Active,Y,33,28,-5,6,1,2,0,0,1,1,4,2,7,5,1,0,1,
31,B,25,7881302,Qlik Orators,Active,Y,16,12,-4,2,1,0,0,0,1,0,1,0,2,0,1,0,1,
31,C,31,977250,Crimson Toastmasters Club,Active,Y,20,22,2,3,1,1,0,0,0,0,4,5,4,1,1,0,1,
31,C,31,1295807,Somerville Toastmasters,Active,Y,49,43,-6,6,2,2,0,1,1,1,4,5,4,2,1,0,1,
31,C,31,3885194,Winchester Toastmasters,Active,Y,31,29,-2,3,0,0,0,0,1,0,4,2,4,2,1,0,1,
31,C,31,7049346,Saturday Toastmasters of Arlington,Active,Y,14,13,-1,3,1,0,0,1,0,0,4,0,5,4,1,0,1,
31,C,32,1867,Talk Of The Town Club,Active,Y,27,25,-2,2,0,0,0,0,0,0,4,3,6,5,1,0,0,
31,C,32,6670,Speak Up Cambridge,Active,Y,13,13,0,1,1,0,0,0,0,0,4,2,0,0,1,0,0,
31,C,32,4025968,Toast Wizards,Active,Y,19,20,1,2,2,0,0,0,0,0,3,0,6,5,1,0,1,
31,C,32,28675787,East Coast Toastmasters,Active,N,13,12,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
31,C,33,7831,Humor And Drama Toastmasters,Active,Y,9,8,-1,0,1,0,0,0,0,0,1,0,4,2,0,0,1,
31,C,33,8843,Toastmasters @ MIT,Active,Y,9,8,-1,1,0,0,0,0,0,0,0,0,4,0,1,0,1,
31,C,33,680823,Tuesday Toastmasters at MIT Club,Active,Y,21,19,-2,2,1,0,0,0,0,0,4,3,5,3,1,0,1,
31,C,33,1928495,Novartis Toastmasters @ Cambridge,Suspended,N,5,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,C,33,6423576,Takeda Toastmasters,Active,Y,20,32,12,4,3,0,0,0,0,0,4,11,5,5,1,0,1,
31,C,34,4975343,AKAToasts,Active,Y,19,19,0,2,1,0,0,2,0,0,3,0,3,2,1,0,1,
31,C,34,7032755,Toastmasters Google Cambridge,Active,N,8,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
31,C,34,7301975,The Toastologists,Suspended,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,C,34,28676919,Moderna-Cambridge,Ineligible,N,16,0,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
31,C,34,28676929,BMS Toastmasters at CMX,Active,N,20,16,-4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
31,C,35,2352,Sun Life Club,Suspended,N,10,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,C,35,2263055,Watertown Saturday Toastmasters,Active,Y,11,14,3,2,3,1,0,0,0,0,4,3,4,2,1,0,1,
31,C,35,7754658,Newton Voices Toastmasters,Active,Y,20,15,-5,1,0,0,0,0,0,0,2,0,6,2,1,0,1,
31,C,35,28678055,Toast in Common,Active,Y,14,10,-4,3,0,0,0,0,0,0,4,2,4,4,1,0,1,
31,C,35,28678795,Clear Water Communicators,Active,Y,26,16,-10,1,1,0,0,0,0,0,1,0,5,4,0,0,1,
31,C,35,28678864,Boston Mutual Life,Active,N,20,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,
31,D,41,1074,Boston Toastmasters,Active,Y,28,36,8,3,0,0,0,1,0,0,4,20,5,3,1,0,1,
31,D,41,6454,Copley Square Toastmasters,Active,Y,11,10,-1,2,0,0,0,1,0,0,1,0,5,5,1,0,1,
31,D,41,8387,Boston Speech Party Toastmasters Club,Active,Y,12,9,-3,1,0,0,0,0,0,0,0,0,1,1,1,0,1,
31,D,41,2389888,Northeastern University Toastmasters,Ineligible,Y,8,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,D,42,7625,E.P.A. Club,Low,Y,10,6,-4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
31,D,42,2908808,FactMasters,Active,Y,18,14,-4,1,0,0,0,0,0,0,2,0,2,0,1,0,1,
31,D,42,4340726,Toastmasters General,Active,Y,9,10,1,1,0,0,0,0,0,0,1,0,4,2,1,0,1,
31,D,42,7057227,LEADA@Liberty Toastmasters,Active,Y,35,31,-4,5,3,1,0,2,1,0,4,5,4,1,1,0,1,
31,D,42,28677354,Beantown Toasters Toastmasters,Active,Y,18,20,2,2,0,0,0,0,0,0,4,3,2,0,1,0,1,
31,D,43,3757,TM at the FRB - Boston Club,Active,Y,14,14,0,2,2,0,0,0,1,0,3,0,4,3,1,0,1,
31,D,43,3991,Boston Seaport Toastmasters,Active,Y,12,12,0,1,0,0,0,1,0,0,3,0,4,3,1,0,1,
31,D,43,7116868,Unified Voices,Active,Y,8,10,2,1,0,0,0,0,0,0,2,0,0,0,1,0,1,
31,D,43,28676359,Toastmasters@Pier4,Active,Y,12,19,7,3,2,1,0,0,0,0,4,4,2,0,1,0,1,
31,D,43,28678250,BBH Beantown Articulators,Active,Y,21,21,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,
31,D,44,1971671,Boston University Medical Campus,Low,Y,8,6,-2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,
31,D,44,3574270,Advanced Access,Active,Y,16,15,-1,2,1,0,0,0,1,0,0,0,5,2,1,0,1,
31,D,44,3686963,Toast with Friends,Active,Y,20,20,0,4,3,0,0,0,1,1,4,1,6,1,1,0,1,
31,D,44,6935140,Boston College Toastmasters Club,Active,Y,27,23,-4,3,1,0,0,0,1,1,2,0,3,2,1,0,1,
31,D,44,6943872,Optum Tech Toasts,Ineligible,N,15,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,E,51,727120,Village Toastmasters Club,Active,Y,16,15,-1,1,0,0,0,0,0,0,3,0,4,1,1,0,1,
31,E,51,5870865,Unibank Toastmasters,Active,Y,16,10,-6,0,1,0,0,0,0,0,1,0,2,0,0,0,1,
31,E,51,28677455,West Coast/Central Toastmasters,Active,Y,18,18,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,
31,E,51,28678135,Wilson Toastmasters,Active,Y,21,16,-5,0,1,0,0,0,0,0,2,0,4,0,1,0,0,
31,E,52,2277,Central Club,Active,Y,11,9,-2,3,0,1,0,1,1,1,3,0,5,0,1,0,1,
31,E,52,5574,Early Risers Toastmasters Club,Active,Y,9,9,0,3,0,1,0,1,1,0,1,0,6,5,1,0,2,
31,E,52,994078,AbbVie Bioresearch Toastmasters,Active,Y,19,22,3,2,0,0,0,0,1,0,3,0,5,1,1,0,1,
31,E,52,6978693,Seven Hills Advanced Toastmasters,Active,Y,9,9,0,0,0,0,0,0,0,0,1,0,4,2,0,0,1,
31,E,53,4495,Paul Revere Toastmasters,Active,Y,14,14,0,2,0,0,0,0,0,0,4,2,5,1,1,0,1,
31,E,53,5414,Articulators Club,Active,Y,16,17,1,3,2,2,1,3,0,0,2,0,5,3,1,0,1,
31,E,53,5073971,Shrewsbury Toastmasters,Active,Y,36,39,3,5,2,1,0,2,1,0,4,11,5,2,1,0,1,
31,E,53,6751480,Otis Street Orators,Active,Y,18,16,-2,3,2,1,0,1,1,0,2,0,7,5,1,0,1,
31,E,54,3555,Staples Club,Active,Y,28,31,3,3,3,1,0,0,0,0,4,3,5,4,1,0,1,
31,E,54,7163,3Talkers Club,Active,Y,16,14,-2,2,0,0,0,0,1,0,2,0,7,3,1,0,1,
31,E,54,1154970,Speakeasy,Active,Y,14,11,-3,1,0,0,0,0,0,0,2,0,3,0,1,0,1,
31,E,54,5991864,Boroughs Toastmasters,Active,Y,17,18,1,1,0,0,0,0,0,0,3,0,6,2,1,0,1,
31,E,55,3993,Framingham / Natick Toastmasters,Active,Y,28,29,1,5,3,0,0,0,1,1,4,5,4,2,1,0,1,
31,E,55,4641,Speech Invaders Club,Active,Y,18,24,6,7,1,2,0,2,1,1,4,4,7,1,1,0,1,
31,E,55,743989,Dell EMC Hopkinton,Active,Y,12,11,-1,3,2,2,0,1,1,0,0,0,4,0,1,0,1,
31,E,55,6430390,Metrowest Toastmasters,Active,Y,20,17,-3,1,1,1,0,0,0,0,1,0,4,1,1,0,1,
31,F,61,8310,Upper Cape Toastmasters,Active,Y,21,18,-3,4,2,1,0,0,1,1,1,0,5,4,1,0,1,
31,F,61,1174738,South Coast Toastmasters,Active,Y,15,14,-1,4,1,0,0,0,1,1,3,0,6,4,1,0,1,
31,F,61,1329712,Outermost Toast,Active,Y,15,14,-1,2,1,0,0,0,0,0,1,0,6,4,1,0,1,
31,F,61,7959859,V.O.L.U.M.E. Toastmasters,Active,Y,11,8,-3,1,1,0,0,0,0,0,0,0,3,0,1,0,1,
31,F,62,2685,Tri-County Talkers Toastmasters Club,Active,Y,17,16,-1,1,0,0,0,0,0,0,2,0,5,0,1,0,1,
31,F,62,3345,Advanced Orators Club,Active,Y,11,12,1,3,0,2,0,0,0,0,3,0,6,5,1,0,1,
31,F,62,4652,Network Voice Club,Active,Y,21,20,-1,5,2,1,0,0,1,1,4,1,5,5,1,0,1,
31,F,62,1118652,South Shore Toastmasters,Active,Y,23,20,-3,2,1,0,0,2,0,0,3,0,6,2,1,0,1,
31,F,63,1625,Achievers Toastmasters Club,Active,Y,14,11,-3,3,1,0,0,0,1,0,2,0,4,4,1,0,1,
31,F,63,8612,Spirited Speakers,Active,Y,10,11,1,2,1,0,0,0,1,0,1,0,5,3,1,0,1,
31,F,63,9771,Fox Vox Club,Active,Y,9,8,-1,3,1,0,0,1,1,1,0,0,4,3,1,0,1,
31,F,63,1576564,Toastmasters in Motion,Active,Y,20,17,-3,3,1,1,0,1,1,2,1,0,6,2,1,0,1,
31,F,64,675,Quincy Toastmasters Club,Active,Y,42,43,1,7,1,2,1,2,1,3,4,3,7,7,1,0,1,
31,F,64,849,Quannapowitt Toastmasters,Active,Y,9,10,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1,
31,F,64,8331,Blue Masters Toastmasters Club,Active,Y,10,15,5,1,1,0,0,0,0,0,4,1,1,1,0,0,1,
31,F,64,5930724,JP Toastmasters,Active,Y,16,11,-5,2,0,1,0,0,0,0,0,0,5,4,1,0,1,
31,F,65,3926,Norwood Toastmasters Club,Active,Y,23,29,6,5,1,0,0,0,1,0,4,6,4,4,1,0,1,
31,F,65,4735,Boston West Toastmasters Club,Active,Y,31,30,-1,6,3,2,0,1,1,0,4,5,7,7,1,0,1,
31,F,65,873714,Point32Health Toastmasters Club,Suspended,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,F,65,4389390,Amazon Boston Toastmasters,Active,Y,9,9,0,2,1,1,0,1,1,1,3,0,6,1,0,0,1,
31,F,65,28678764,CCC Toastmasters,Suspended,N,30,0,-30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
31,F,65,28679111,Union Capital Boston Toastmasters Club,Active,N,20,21,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,
31,G,71,854,Ocean State Toastmasters,Active,Y,13,11,-2,1,0,0,0,0,0,0,2,0,5,3,1,0,1,
31,G,71,843267,FM Toastmasters,Active,Y,13,15,2,1,0,0,0,0,0,0,2,0,5,0,1,0,1,
