"District","Division","Area","Club Number","Club Name","Club Status","CSP","Mem. Base","Active Members","Net Growth","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"31","A","11","00000508","Merrimack Toastmasters Club","Active","Y","12","20","8","3","1","0","0","0","1","0","4","8","3","2","1","1","0",""
"31","A","11","00008508","Clipper City Club","Active","Y","16","19","3","7","4","1","0","0","1","1","4","6","5","4","1","1","1","D"
"31","A","11","07675820","EBSCO Toastmasters","Active","Y","10","11","1","3","0","0","0","2","0","0","4","4","1","1","1","1","0",""
"31","A","11","07988557","New England Biolabs","Active","Y","20","21","1","5","4","2","0","0","0","0","4","0","6","6","1","1","1","D"
"31","A","12","01225457","Harold Parker Toastmasters","Active","Y","11","11","0","4","0","0","0","0","0","0","4","4","4","5","0","1","1",""
"31","A","12","03785939","Advanced Articulators Online","Active","Y","10","16","6","8","2","2","0","3","1","3","4","5","7","7","1","1","1","S"
"31","A","12","06892975","Analog Orators","Low","Y","10","7","-3","0","0","1","0","0","0","0","3","0","6","0","0","0","1",""
"31","A","12","28677456","South East Toastmasters","Active","Y","13","21","8","2","0","0","0","0","0","0","4","27","0","0","0","1","0",""
"31","A","13","00002779","MITRE  Toastmasters Club","Active","Y","9","8","-1","3","0","0","0","0","1","0","1","0","4","4","1","1","1",""
"31","A","13","00005525","The Last Word","Active","Y","9","10","1","3","1","1","0","1","0","0","4","1","5","4","1","0","1",""
"31","A","13","05560447","Toast of the Town","Active","Y","35","22","-13","7","4","1","0","2","1","1","4","2","5","4","1","1","1","S"
"31","A","13","07928167","ToaSTRs","Active","Y","10","8","-2","1","0","0","0","0","0","0","3","0","2","0","1","1","1",""
"31","A","14","00003565","Eastern Middlesex Toastmasters","Active","Y","27","25","-2","10","4","2","2","2","1","1","4","10","6","7","1","1","1","M"
"31","A","14","00003908","Northshore Toastmasters Club","Active","Y","30","30","0","10","5","2","2","2","1","1","4","15","7","7","1","1","1","M"
"31","A","14","00735541","Toastmasters Club of Beverly MA","Active","Y","8","13","5","4","1","0","0","1","1","1","4","2","1","4","0","1","1",""
"31","A","14","07962029","Toastmasters at Abiomed","Active","Y","8","14","6","4","0","0","0","0","1","0","4","5","3","2","1","1","1",""
"31","A","14","28680156","athenahealth Boston","Active","Y","20","20","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1",""
"31","B","21","00002193","Isaac Davis Club","Active","Y","15","12","-3","3","3","0","0","0","0","0","4","1","5","4","1","1","1",""
"31","B","21","00004690","Westford Expressions Club","Active","Y","22","20","-2","9","3","2","2","2","1","1","4","4","4","4","1","1","1","P"
"31","B","21","00007677","Wachusett Toastmasters #7677","Active","Y","14","15","1","6","2","2","1","1","1","2","4","2","6","5","1","1","1",""
"31","B","21","00008753","Twin City Club","Active","Y","11","11","0","1","0","0","0","0","0","0","4","1","0","1","0","0","1",""
"31","B","22","00004031","Chelmsford Toastmasters Club","Active","Y","20","21","1","8","2","2","2","0","1","2","4","8","4","4","1","1","1","S"
"31","B","22","02078400","Mill City Toastmasters","Active","Y","10","12","2","4","0","1","0","2","1","0","3","0","7","7","1","1","1",""
"31","B","22","03550659","New Life Toastmasters Club","Active","Y","13","13","0","6","3","2","0","1","1","1","4","3","5","4","1","1","1",""
"31","B","22","07958590","Share the Spark","Active","Y","21","16","-5","1","0","0","0","0","0","0","3","0","0","0","1","1","1",""
"31","B","23","00002201","Hanscom Toastmasters Club","Active","Y","16","12","-4","5","1","0","0","1","1","2","4","0","7","6","1","1","1",""
"31","B","23","00003981","Alcott Toastmasters","Active","Y","22","28","6","10","4","2","2","2","1","1","4","13","7","4","1","1","1","M"
"31","B","23","00909842","Lincoln Laboratory Toastmasters Club","Active","Y","13","11","-2","3","0","1","0","1","1","0","3","0","4","4","1","1","1",""
"31","B","23","01528212","Energy Talks","Active","Y","15","22","7","4","3","0","0","0","0","0","4","7","4","6","1","1","1",""
"31","B","24","00002288","Minutemen Toastmasters of Waltham","Active","Y","12","11","-1","6","2","0","0","2","1","1","4","1","5","6","0","1","1",""
"31","B","24","00005738","Sales & Marketing Club","Active","Y","20","13","-7","3","1","1","0","0","0","0","4","4","4","1","1","1","1",""
"31","B","24","00006174","AccelOrators Advanced Toastmasters","Active","Y","10","10","0","2","0","0","0","0","0","0","3","0","5","4","1","1","1",""
"31","B","24","00006272","Lexington Toastmasters","Active","Y","27","24","-3","5","2","2","1","2","1","0","4","3","1","1","1","1","1","D"
"31","B","24","28680212","Sound the Foghorn Toastmasters","Active","Y","28","28","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1",""
"31","B","25","00002753","Sylvan Speakers Wednesday Noon Eastern US Time Club","Active","Y","15","15","0","3","0","1","0","0","0","0","4","2","4","4","1","1","1",""
"31","B","25","03077435","Broadcasters Toastmasters","Active","Y","16","29","13","5","3","1","0","1","1","0","4","21","5","5","1","1","1","D"
"31","B","25","03163158","Dassault Systemes Boston Campus Toastmasters Club","Active","Y","33","29","-4","8","1","2","0","2","1","1","4","7","7","6","1","1","1","S"
"31","B","25","07881302","Qlik Orators","Active","Y","16","12","-4","2","1","1","0","0","1","0","2","0","2","1","1","0","1",""
"31","B","25","28679868","Amazon AppSec","Active","Y","20","20","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1",""
"31","C","31","00977250","Crimson Toastmasters Club","Active","Y","20","23","3","7","2","2","0","2","1","0","4","11","4","5","1","1","1","S"
"31","C","31","01295807","Somerville Toastmasters","Active","Y","49","47","-2","9","4","2","0","2","1","1","4","21","4","4","1","1","1","P"
"31","C","31","03885194","Winchester Toastmasters","Active","Y","31","24","-7","4","1","0","0","0","1","0","4","5","4","2","1","1","1",""
"31","C","31","07049346","Saturday Toastmasters of Arlington","Active","Y","14","16","2","7","2","2","0","1","1","1","4","6","5","7","1","1","1",""
"31","C","32","00001867","Talk Of The Town Club","Active","Y","27","31","4","5","1","2","0","0","1","0","4","15","6","5","1","1","0","D"
"31","C","32","00006670","Speak Up Cambridge","Active","Y","13","10","-3","2","1","0","0","0","0","0","4","5","0","0","1","0","0",""
