District,Division,Area,Club Number,Club Name,Club Status,Mem. Base,Active Members,Goals Met,Level 1s,Level 2s,Add. Level 2s,Level 3s,"Level 4s, Level 5s, or DTM award","Add. Level 4s, Level 5s, or DTM award",New Members,Add. New Members,Off. Trained Round 1,Off. Trained Round 2,Mem. dues on time Oct,Mem. dues on time Apr,Off. List On Time,Club Distinguished Status
31,A,11,508,Merrimack Toastmasters Club,Active,13,12,2,0,0,0,0,0,0,4,2,4,1,1,1,1,
31,A,11,8508,Clipper City Club,Active,12,15,6,1,2,0,2,1,1,4,2,3,5,1,1,1,D
31,A,11,7675820,EBSCO Toastmasters,Active,11,10,1,1,2,1,0,0,0,2,0,3,1,1,1,0,
31,A,11,7988557,New England Biolabs,Active,17,20,2,3,0,0,0,0,0,4,3,4,5,1,1,0,
31,A,12,1225457,Harold Parker Toastmasters,Active,11,11,5,2,2,0,1,1,0,4,1,6,4,1,1,1,
31,A,12,3785939,Advanced Articulators of Andover,Active,11,10,2,0,0,0,0,0,0,1,0,7,7,1,1,1,
31,A,12,5560447,Toast of the Town,Active,24,35,6,0,0,0,3,1,0,4,13,5,5,1,1,1,D
31,A,12,6892975,Analog Orators,Active,19,10,2,3,0,0,0,1,0,2,0,7,6,1,1,0,
31,A,13,2779,MITRE  Toastmasters Club,Active,11,9,3,0,1,0,1,1,0,3,0,4,4,0,1,1,
31,A,13,5525,The Last Word,Active,11,9,5,1,2,0,1,1,1,4,0,4,3,1,1,1,
31,A,13,7712170,Healthy Toast,Suspended,16,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,
31,A,13,7928167,ToaSTRs,Active,27,10,1,1,1,0,0,0,0,3,0,0,4,1,1,1,
31,A,13,28678135,Wilson Toastmasters,Active,23,21,1,2,0,0,0,0,0,0,0,0,0,1,1,1,
31,A,14,3565,Eastern Middlesex Toastmasters,Active,26,27,7,6,0,0,1,1,2,4,11,7,6,1,1,1,S
31,A,14,3908,Northshore Toastmasters Club,Active,24,30,9,5,2,2,1,1,2,4,9,7,6,1,1,1,P
31,A,14,735541,Toastmasters Club of Beverly MA,Active,12,8,0,0,0,0,0,0,0,2,0,0,0,0,1,0,
31,A,14,7962029,Toastmasters at Abiomed,Active,8,8,2,2,2,0,1,0,0,4,1,0,0,0,1,0,
31,A,14,28677513,QBE A&H Toastmasters Club,Suspended,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
31,B,21,2193,Isaac Davis Club,Active,16,15,4,0,2,0,0,0,0,4,1,7,5,1,1,1,
31,B,21,4690,Westford Expressions Club,Active,18,22,9,4,2,0,4,1,1,4,12,5,4,1,1,1,P
31,B,21,7677,Wachusett Toastmasters #7677,Active,13,14,2,2,1,0,1,1,0,2,0,4,3,1,1,1,
