"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"31","A","11","00000508","Merrimack Toastmasters Club","6","0","10","10","20","0","26","",""
"31","A","11","00008508","Clipper City Club","6","0","13","10","23","0","29","D",""
"31","A","11","07675820","EBSCO Toastmasters","2","0","9","10","19","0","21","",""
"31","A","11","07988557","New England Biolabs","7","0","13","15","28","0","35","",""
"31","A","12","01225457","Harold Parker Toastmasters","5","0","11","11","22","0","27","",""
"31","A","12","03785939","Advanced Articulators of Andover","1","0","9","10","19","0","20","",""
"31","A","12","05560447","Toast of the Town","17","0","21","32","53","0","70","D",""
"31","A","12","06892975","Analog Orators","2","0","11","10","21","0","23","",""
"31","A","13","00002779","MITRE  Toastmasters Club","3","0","6","8","14","0","17","",""
"31","A","13","00005525","The Last Word","4","0","9","6","15","0","19","",""
"31","A","13","07712170","Healthy Toast","0","0","0","0","0","0","0","",""
"31","A","13","07928167","ToaSTRs","3","1","22","10","33","0","36","",""
"31","A","13","28678135","Wilson Toastmasters","0","0","0","21","21","23","44","","Charter 10/15/24"
"31","A","14","00003565","Eastern Middlesex Toastmasters","15","0","21","24","45","0","60","S",""
"31","A","14","00003908","Northshore Toastmasters Club","13","0","22","24","46","0","59","P",""
"31","A","14","00735541","Toastmasters Club of Beverly MA","2","0","9","8","17","0","19","",""
"31","A","14","07962029","Toastmasters at Abiomed","5","0","6","7","13","0","18","",""
"31","A","14","28677513","QBE A&H Toastmasters Club","0","0","0","0","0","0","0","",""
"31","B","21","00002193","Isaac Davis Club","5","0","12","13","25","0","30","",""
"31","B","21","00004690","Westford Expressions Club","16","0","16","17","33","0","49","P",""
"31","B","21","00007677","Wachusett Toastmasters #7677","2","0","13","13","26","0","28","",""
"31","B","21","00008753","Twin City Club","8","0","8","7","15","0","23","",""
"31","B","22","00004031","Chelmsford Toastmasters Club","11","0","16","16","32","0","43","P",""
"31","B","22","02078400","Mill City Toastmasters","2","0","12","9","21","0","23","",""
"31","B","22","03550659","New Life Toastmasters Club","5","0","13","10","23","0","28","",""
"31","B","22","07958590","Share the Spark","6","0","16","21","37","0","43","",""
"31","B","23","00002201","Hanscom Toastmasters Club","4","0","13","15","28","0","32","",""
"31","B","23","00003981","Alcott Toastmasters","16","0","17","14","31","0","47","D",""
"31","B","23","00909842","Lincoln Laboratory Toastmasters Club","4","0","15","11","26","0","30","",""
"31","B","23","01528212","Energy Talks","3","0","13","15","28","0","31","",""
"31","B","24","00002288","Minutemen Toastmasters of Waltham","5","0","7","9","16","0","21","",""
"31","B","24","00005738","Sales & Marketing Club","10","0","19","16","35","0","45","S",""
