District,Division,Area,Club,Club Name,October Renewals,April Renewals,Nov Visit award,May Visit award,Membership to date,Club Goals Met,Distinguished Club,Area Club Base,Area Paid Club Goal for Dist.,Area Paid Club Goal for Select Dist.,Area Paid Club Goal for Pres. Dist.,Total Paid Area Clubs,Area Dist. Club Goal for Dist.,Area Dist. Club Goal for Select Dist.,Area Dist. Club Goal for Pres. Dist.,Total Dist. Area Clubs,Distinguished Area,Division Club Base,Division Paid Club Goal for Dist.,Division Paid Club Goal for Select Dist.,Division Paid Club Goal for Pres. Dist.,Total Paid Division Clubs,Division Dist. Club Goal for Dist.,Division Dist. Club Goal for Select Dist.,Division Dist. Club Goal for Pres. Dist.,Total Dist. Division Clubs,Distinguished Division,Charter Date/Suspend Date
31,A,11,508,Merrimack Toastmasters Club,1,0,1,0,19,1,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,11,8508,Clipper City Club,1,0,1,0,15,2,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,11,7675820,EBSCO Toastmasters,1,0,1,0,16,3,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,11,7988557,New England Biolabs,1,1,1,0,20,3,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,12,1225457,Harold Parker Toastmasters,1,0,1,0,11,1,,4,4,4,5,3,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,12,3785939,Advanced Articulators Online,1,0,1,0,13,7,,4,4,4,5,3,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,12,6892975,Analog Orators,1,0,1,0,8,0,,4,4,4,5,3,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,12,28677456,South East Toastmasters,0,0,1,0,18,2,,4,4,4,5,3,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,13,2779,MITRE  Toastmasters Club,1,0,1,0,8,1,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,13,5525,The Last Word,1,0,1,0,10,2,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,13,5560447,Toast of the Town,1,0,1,0,26,2,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,13,7928167,ToaSTRs,1,0,1,0,9,1,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,14,3565,Eastern Middlesex Toastmasters,1,0,1,0,29,4,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,14,3908,Northshore Toastmasters Club,1,0,1,0,36,6,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,14,735541,Toastmasters Club of Beverly MA,1,0,1,0,8,0,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,A,14,7962029,Toastmasters at Abiomed,1,0,1,0,13,2,,4,4,4,5,4,2,3,3,0,,16,16,16,17,15,8,8,9,0,,
31,B,21,2193,Isaac Davis Club,1,0,1,0,14,2,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,21,4690,Westford Expressions Club,1,0,1,0,19,4,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,21,7677,Wachusett Toastmasters #7677,1,0,1,0,17,6,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,21,8753,Twin City Club,1,0,1,0,11,0,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,22,4031,Chelmsford Toastmasters Club,1,0,1,0,22,6,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,22,2078400,Mill City Toastmasters,1,0,1,0,11,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,22,3550659,New Life Toastmasters Club,1,0,1,0,12,4,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,22,7958590,Share the Spark,1,0,1,0,15,1,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,23,2201,Hanscom Toastmasters Club,1,0,1,0,13,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,23,3981,Alcott Toastmasters,1,0,1,0,22,4,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,23,909842,Lincoln Laboratory Toastmasters Club,1,0,1,0,11,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,23,1528212,Energy Talks,1,1,1,0,23,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,24,2288,Minutemen Toastmasters of Waltham,1,0,1,0,9,2,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,24,5738,Sales & Marketing Club,1,0,1,0,22,1,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,24,6174,AccelOrators Advanced Toastmasters,1,0,1,0,9,1,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,24,6272,Lexington Toastmasters,1,0,1,0,26,3,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,25,2753,Sylvan Speakers Wednesday Noon Eastern US Time Club,1,0,1,0,13,2,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,25,3077435,Broadcasters Toastmasters,1,1,1,0,39,4,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,25,3163158,Dassault Systemes Boston Campus Toastmasters Club,1,1,1,0,28,6,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,B,25,7881302,Qlik Orators,1,0,1,0,12,2,,4,4,4,5,4,2,3,3,0,,20,20,20,21,20,9,10,11,0,,
31,C,31,977250,Crimson Toastmasters Club,1,0,1,0,22,4,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,31,1295807,Somerville Toastmasters,1,0,1,0,44,7,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,31,3885194,Winchester Toastmasters,1,0,1,0,31,3,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,31,7049346,Saturday Toastmasters of Arlington,1,0,1,0,13,3,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,32,1867,Talk Of The Town Club,1,0,1,0,28,3,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,32,6670,Speak Up Cambridge,1,0,1,0,13,1,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,32,4025968,Toast Wizards,1,0,1,0,20,2,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,32,28675787,East Coast Toastmasters,1,0,1,0,12,0,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,33,7831,Humor And Drama Toastmasters,1,0,1,0,8,0,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,33,8843,Toastmasters @ MIT,1,0,1,0,8,1,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,33,680823,Tuesday Toastmasters at MIT Club,1,0,1,0,22,3,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,33,1928495,Novartis Toastmasters @ Cambridge,0,0,0,0,0,0,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,, Susp 09/30/25
31,C,33,6423576,Takeda Toastmasters,1,1,1,0,32,4,,4,4,4,5,4,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,34,4975343,AKAToasts,1,0,1,0,25,4,,4,4,4,5,3,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,34,7032755,Toastmasters Google Cambridge,1,0,1,0,9,0,,4,4,4,5,3,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,34,7301975,The Toastologists,0,0,0,0,0,0,,4,4,4,5,3,2,3,3,0,,21,21,21,22,20,10,11,12,0,, Susp 09/30/25
31,C,34,28676919,Moderna-Cambridge,0,0,1,0,0,0,,4,4,4,5,3,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,34,28676929,BMS Toastmasters at CMX,1,0,1,0,16,0,,4,4,4,5,3,2,3,3,0,,21,21,21,22,20,10,11,12,0,,
31,C,35,2352,Sun Life Club,0,0,0,0,0,0,,5,5,5,6,5,3,4,4,0,,21,21,21,22,20,10,11,12,0,, Susp 10/01/25
31,C,35,2263055,Watertown Saturday Toastmasters,1,0,1,0,14,2,,5,5,5,6,5,3,4,4,0,,21,21,21,22,20,10,11,12,0,,
31,C,35,7754658,Newton Voices Toastmasters,1,0,1,0,15,2,,5,5,5,6,5,3,4,4,0,,21,21,21,22,20,10,11,12,0,,
31,C,35,28678055,Toast in Common,1,0,1,0,11,3,,5,5,5,6,5,3,4,4,0,,21,21,21,22,20,10,11,12,0,,
31,C,35,28678795,Clear Water Communicators,1,0,1,0,17,1,,5,5,5,6,5,3,4,4,0,,21,21,21,22,20,10,11,12,0,,
31,C,35,28678864,Boston Mutual Life,0,0,1,0,20,1,,5,5,5,6,5,3,4,4,0,,21,21,21,22,20,10,11,12,0,,Charter 10/01/25
31,D,41,1074,Boston Toastmasters,1,1,1,0,38,4,,4,4,4,5,3,2,3,3,0,,19,19,19,20,16,9,10,11,0,,
31,D,41,6454,Copley Square Toastmasters,1,0,1,0,11,2,,4,4,4,5,3,2,3,3,0,,19,19,19,20,16,9,10,11,0,,
31,D,41,8387,Boston Speech Party Toastmasters Club,1,0,1,0,9,1,,4,4,4,5,3,2,3,3,0,,19,19,19,20,16,9,10,11,0,,
31,D,41,2389888,Northeastern University Toastmasters,0,0,1,0,0,0,,4,4,4,5,3,2,3,3,0,,19,19,19,20,16,9,10,11,0,,
