"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Level 5s, or DTM award","Add. Level 4s, Level 5s, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"31","A","11","00000508","Merrimack Toastmasters Club","Active","13","14","2","0","0","0","0","0","0","4","0","4","1","1","1","1",""
"31","A","11","00008508","Clipper City Club","Active","12","13","2","1","1","0","0","1","0","1","0","3","5","1","1","1",""
"31","A","11","07675820","EBSCO Toastmasters","Active","11","11","0","1","0","0","0","0","0","2","0","3","1","1","1","0",""
"31","A","11","07988557","New England Biolabs","Active","17","15","1","3","0","0","0","0","0","2","0","4","5","1","1","0",""
"31","A","12","01225457","Harold Parker Toastmasters","Active","11","16","5","2","2","0","1","1","0","4","1","6","4","1","1","1",""
"31","A","12","03785939","Advanced Articulators of Andover","Active","11","10","2","0","0","0","0","0","0","1","0","7","7","1","1","1",""
"31","A","12","05560447","Toast of the Town","Active","24","32","6","0","0","0","3","1","0","4","10","5","5","1","1","1",""
"31","A","12","06892975","Analog Orators","Active","19","12","2","3","0","0","0","1","0","2","0","7","6","1","1","0",""
"31","A","13","00002779","MITRE  Toastmasters Club","Active","11","8","2","0","1","0","1","0","0","2","0","4","4","0","1","1",""
"31","A","13","00005525","The Last Word","Active","11","9","3","1","2","0","1","1","0","1","0","4","3","1","1","1",""
"31","A","13","07712170","Healthy Toast","Ineligible","16","0","0","1","0","0","0","0","0","0","0","2","0","0","0","1",""
"31","A","13","07928167","ToaSTRs","Active","27","22","1","1","1","0","0","0","0","3","0","0","4","1","1","1",""
"31","A","13","28678135","Wilson Toastmasters","Active","23","23","1","0","0","0","0","0","0","0","0","0","0","1","1","1",""
"31","A","14","00003565","Eastern Middlesex Toastmasters","Active","26","29","5","3","0","0","1","1","0","4","8","7","6","1","1","1",""
"31","A","14","00003908","Northshore Toastmasters Club","Active","24","26","7","4","2","0","1","1","1","4","3","7","6","1","1","1",""
"31","A","14","00735541","Toastmasters Club of Beverly MA","Active","12","11","0","0","0","0","0","0","0","2","0","0","0","0","1","0",""
"31","A","14","02532761","Electric Insurance Toastmasters","Suspended","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"31","A","14","07962029","Toastmasters at Abiomed","Active","8","10","1","1","0","0","1","0","0","4","0","0","0","0","1","0",""
"31","A","14","28677513","QBE A&H Toastmasters Club","Ineligible","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",""
"31","B","21","00002193","Isaac Davis Club","Active","16","15","3","0","2","0","0","0","0","3","0","7","5","1","1","1",""
"31","B","21","00004690","Westford Expressions Club","Active","18","21","7","2","2","0","3","1","0","4","7","5","4","1","1","1",""
"31","B","21","00007677","Wachusett Toastmasters #7677","Active","13","13","1","1","0","0","0","0","0","1","0","4","3","1","1","1",""
"31","B","21","00008753","Twin City Club","Active","9","11","2","0","0","0","0","0","0","4","0","1","1","1","1","1",""
"31","B","22","00004031","Chelmsford Toastmasters Club","Active","16","22","7","4","2","0","1","1","1","4","3","5","5","1","1","1",""
"31","B","22","02078400","Mill City Toastmasters","Active","16","13","2","1","1","0","0","0","0","1","0","6","7","1","1","1",""
"31","B","22","03550659","New Life Toastmasters Club","Active","16","15","5","2","2","0","0","1","4","2","0","4","5","1","1","1",""
"31","B","22","07958590","Share the Spark","Active","20","22","2","0","0","0","0","0","0","4","2","1","3","1","1","1",""
