"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"31","A","11","00000508","Merrimack Toastmasters Club","4","0","10","9","19","0","23","",""
"31","A","11","00008508","Clipper City Club","1","0","13","10","23","0","24","",""
"31","A","11","07675820","EBSCO Toastmasters","2","0","9","10","19","0","21","",""
"31","A","11","07988557","New England Biolabs","5","0","13","15","28","0","33","",""
"31","A","12","01225457","Harold Parker Toastmasters","5","0","11","11","22","0","27","",""
"31","A","12","03785939","Advanced Articulators of Andover","1","0","9","10","19","0","20","",""
"31","A","12","05560447","Toast of the Town","14","0","21","32","53","0","67","D",""
"31","A","12","06892975","Analog Orators","2","0","11","10","21","0","23","",""
"31","A","13","00002779","MITRE  Toastmasters Club","3","0","6","8","14","0","17","",""
"31","A","13","00005525","The Last Word","4","0","9","6","15","0","19","",""
"31","A","13","07712170","Healthy Toast","0","0","0","0","0","0","0","",""
"31","A","13","07928167","ToaSTRs","3","1","22","10","33","0","36","",""
"31","A","13","28678135","Wilson Toastmasters","0","0","0","21","21","23","44","","Charter 10/15/24"
"31","A","14","00003565","Eastern Middlesex Toastmasters","12","0","21","24","45","0","57","D",""
"31","A","14","00003908","Northshore Toastmasters Club","9","0","22","24","46","0","55","S",""
"31","A","14","00735541","Toastmasters Club of Beverly MA","2","0","9","8","17","0","19","",""
"31","A","14","07962029","Toastmasters at Abiomed","5","0","6","7","13","0","18","",""
"31","A","14","28677513","QBE A&H Toastmasters Club","0","0","0","0","0","0","0","",""
"31","B","21","00002193","Isaac Davis Club","4","0","12","12","24","0","28","",""
"31","B","21","00004690","Westford Expressions Club","14","0","16","17","33","0","47","S",""
"31","B","21","00007677","Wachusett Toastmasters #7677","1","0","13","13","26","0","27","",""
"31","B","21","00008753","Twin City Club","7","0","8","7","15","0","22","",""
"31","B","22","00004031","Chelmsford Toastmasters Club","10","0","16","16","32","0","42","P",""
"31","B","22","02078400","Mill City Toastmasters","2","0","12","9","21","0","23","",""
"31","B","22","03550659","New Life Toastmasters Club","3","0","13","10","23","0","26","",""
"31","B","22","07958590","Share the Spark","6","0","16","21","37","0","43","",""
"31","B","23","00002201","Hanscom Toastmasters Club","4","0","13","15","28","0","32","",""
"31","B","23","00003981","Alcott Toastmasters","9","0","17","14","31","0","40","",""
"31","B","23","00909842","Lincoln Laboratory Toastmasters Club","3","0","15","9","24","0","27","",""
"31","B","23","01528212","Energy Talks","3","0","13","15","28","0","31","",""
"31","B","24","00002288","Minutemen Toastmasters of Waltham","3","0","7","7","14","0","17","",""
"31","B","24","00005738","Sales & Marketing Club","8","0","19","16","35","0","43","",""
"31","B","24","00006174","AccelOrators Advanced Toastmasters","2","2","9","9","20","0","22","",""
"31","B","24","00006272","Lexington Toastmasters","7","0","24","25","49","0","56","D",""
"31","B","25","00002753","Sylvan Speakers Club","1","0","14","14","28","0","29","",""
"31","B","25","03077435","Broadcasters Toastmasters","7","0","17","12","29","0","36","",""
"31","B","25","03163158","Dassault Systemes Boston Campus Toastmasters Club","10","0","29","26","55","0","65","D",""
"31","B","25","07881302","Qlik Orators","4","0","12","13","25","0","29","",""
"31","C","31","01295807","Somerville Toastmasters","27","0","39","38","77","0","104","S",""
"31","C","31","03885194","Winchester Toastmasters","12","0","23","28","51","0","63","D",""
"31","C","31","04025968","Toast Wizards","3","0","13","16","29","0","32","",""
"31","C","31","07049346","Saturday Toastmasters of Arlington","3","0","14","12","26","0","29","",""
"31","C","32","00006670","Speak Up Cambridge","8","0","10","8","18","0","26","",""
"31","C","32","00977250","Crimson Toastmasters Club","12","1","14","16","31","0","43","",""
"31","C","32","01928495","Novartis Toastmasters @ Cambridge","2","0","7","4","11","0","13","",""
"31","C","32","28678055","Toast in Common","0","0","0","13","13","21","34","","Charter 10/01/24"
"31","C","33","00007831","Humor And Drama Toastmasters","0","0","10","8","18","0","18","",""
"31","C","33","00008843","Toastmasters @ MIT","4","0","5","6","11","0","15","",""
"31","C","33","00680823","Tuesday Toastmasters at MIT Club","19","4","13","17","34","0","53","",""
"31","C","33","06423576","Takeda Toastmasters","9","0","14","18","32","0","41","S",""
"31","C","33","28676929","BMS Toastmasters at CMX","4","0","6","10","16","0","20","",""
"31","C","34","04975343","AKAToasts","5","0","16","15","31","0","36","",""
"31","C","34","07032755","Toastmasters Google Cambridge","3","0","8","8","16","0","19","",""
"31","C","34","07301975","The Toastologists","2","0","16","0","16","0","18","",""
"31","C","34","28676919","Moderna-Cambridge","16","0","10","6","16","0","32","",""
"31","C","35","00001867","Talk Of The Town Club","11","1","21","24","46","0","57","",""
"31","C","35","02263055","Watertown Saturday Toastmasters","5","0","10","9","19","0","24","",""
"31","C","35","06935140","Boston College Toastmasters Club","12","0","19","23","42","0","54","D",""
"31","C","35","07754658","Newton Voices Toastmasters","4","0","19","18","37","0","41","",""
"31","D","41","00001074","Boston Toastmasters","24","0","19","21","40","0","64","",""
"31","D","41","00003991","Boston Seaport Toastmasters","12","0","11","9","20","0","32","",""
"31","D","41","00006384","John Hancock Club","0","0","0","0","0","0","0","",""
"31","D","41","00006454","Copley Square Toastmasters","4","0","10","10","20","0","24","",""
"31","D","42","00003757","TM at the FRB - Boston Club","10","0","13","12","25","0","35","",""
"31","D","42","02908808","FactMasters","10","0","13","16","29","0","39","",""
"31","D","42","04340726","Toastmasters General","0","0","11","9","20","0","20","",""
"31","D","42","07890364","Quick Toast","0","0","0","0","0","0","0","",""
"31","D","43","07057227","LEADA@Liberty Toastmasters","22","0","23","20","43","0","65","D",""
"31","D","43","07116868","Unified Voices","1","0","8","8","16","0","17","",""
"31","D","43","28676359","Toastmasters@Pier4","1","0","14","11","25","0","26","",""
"31","D","43","28677354","Beantown Toasters Toastmasters","9","0","18","10","28","0","37","",""
