"District","Division","Area","Club","Club Name","October Renewals","April Renewals","Nov Visit award","May Visit award","Membership to date","Club Goals Met","Distinguished Club","Area Club Base","Area Paid Club Goal for Dist.","Area Paid Club Goal for Select Dist.","Area Paid Club Goal for Pres. Dist.","Total Paid Area Clubs","Area Dist. Club Goal for Dist.","Area Dist. Club Goal for Select Dist.","Area Dist. Club Goal for Pres. Dist.","Total Dist. Area Clubs","Distinguished Area","Division Club Base","Division Paid Club Goal for Dist.","Division Paid Club Goal for Select Dist.","Division Paid Club Goal for Pres. Dist.","Total Paid Division Clubs","Division Dist. Club Goal for Dist.","Division Dist. Club Goal for Select Dist.","Division Dist. Club Goal for Pres. Dist.","Total Dist. Division Clubs","Distinguished Division","Charter Date/Suspend Date"
"31","A","11","00000508","Merrimack Toastmasters Club","1","1","1","0","14","2","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","11","00008508","Clipper City Club","1","1","1","0","13","2","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","11","07675820","EBSCO Toastmasters","1","1","1","0","11","0","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","11","07988557","New England Biolabs","1","1","1","0","15","1","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","12","01225457","Harold Parker Toastmasters","1","1","1","0","16","5","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","12","03785939","Advanced Articulators of Andover","1","1","1","0","10","2","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","12","05560447","Toast of the Town","1","1","1","0","32","6","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","12","06892975","Analog Orators","1","1","1","0","12","2","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","13","00002779","MITRE  Toastmasters Club","1","1","1","1","8","2","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","13","00005525","The Last Word","1","1","1","1","9","4","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","13","07712170","Healthy Toast","0","0","0","0","0","0","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","13","07928167","ToaSTRs","1","1","1","0","22","1","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","13","28678135","Wilson Toastmasters","0","1","0","0","23","1","","4","4","4","5","4","2","3","3","0","","17","17","17","18","16","7","8","9","0","","Charter 10/15/24"
"31","A","14","00003565","Eastern Middlesex Toastmasters","1","1","1","0","29","5","","5","5","5","6","4","3","4","4","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","14","00003908","Northshore Toastmasters Club","1","1","1","0","26","7","","5","5","5","6","4","3","4","4","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","14","00735541","Toastmasters Club of Beverly MA","1","1","1","0","11","0","","5","5","5","6","4","3","4","4","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","14","02532761","Electric Insurance Toastmasters","0","0","0","0","0","0","","5","5","5","6","4","3","4","4","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","14","07962029","Toastmasters at Abiomed","1","1","1","0","10","1","","5","5","5","6","4","3","4","4","0","","17","17","17","18","16","7","8","9","0","",""
"31","A","14","28677513","QBE A&H Toastmasters Club","0","0","0","0","0","0","","5","5","5","6","4","3","4","4","0","","17","17","17","18","16","7","8","9","0","",""
"31","B","21","00002193","Isaac Davis Club","1","1","1","0","15","3","","4","4","4","5","4","2","3","3","0","","20","20","20","21","20","8","9","10","0","",""
"31","B","21","00004690","Westford Expressions Club","1","1","1","0","21","7","","4","4","4","5","4","2","3","3","0","","20","20","20","21","20","8","9","10","0","",""
"31","B","21","00007677","Wachusett Toastmasters #7677","1","1","1","0","13","1","","4","4","4","5","4","2","3","3","0","","20","20","20","21","20","8","9","10","0","",""
"31","B","21","00008753","Twin City Club","1","1","1","0","11","2","","4","4","4","5","4","2","3","3","0","","20","20","20","21","20","8","9","10","0","",""
